2026-01-29 09:53:20,521 | WARNING  | Launcher        | [flask] Health check failed, restarting...
2026-01-29 09:53:21,027 | INFO     | Launcher        | [Flask] Starting: E:\Xi\mls\.venv\Scripts\python.exe e:\Xi\mls\server\Flask\flask_server.py
2026-01-29 09:53:21,033 | INFO     | Launcher        | [Flask] Started with PID 20832
2026-01-29 09:53:26,034 | WARNING  | Launcher        | [camera] Health check failed, restarting...
2026-01-29 09:53:26,534 | INFO     | Launcher        | [Camera] Starting: E:\Xi\mls\.venv\Scripts\python.exe e:\Xi\mls\server\cam\camera_server.py
2026-01-29 09:53:26,534 | INFO     | Launcher        | [Camera] Started with PID 2564
2026-01-29 09:53:26,534 | WARNING  | Launcher        | [manager] Health check failed, restarting...
2026-01-29 09:53:27,043 | INFO     | Launcher        | [Manager] Starting: E:\Xi\mls\.venv\Scripts\python.exe e:\Xi\mls\server\communications\manager.py
2026-01-29 09:53:27,048 | INFO     | Launcher        | [Manager] Started with PID 12604
2026-01-29 09:53:27,049 | WARNING  | Launcher        | [flask] Health check failed, restarting...
2026-01-29 09:53:27,550 | INFO     | Launcher        | [Flask] Starting: E:\Xi\mls\.venv\Scripts\python.exe e:\Xi\mls\server\Flask\flask_server.py
2026-01-29 09:53:27,555 | INFO     | Launcher        | [Flask] Started with PID 21964
2026-01-29 09:53:32,556 | WARNING  | Launcher        | [camera] Health check failed, restarting...
2026-01-29 09:53:33,057 | INFO     | Launcher        | [Camera] Starting: E:\Xi\mls\.venv\Scripts\python.exe e:\Xi\mls\server\cam\camera_server.py
2026-01-29 09:53:33,060 | INFO     | Launcher        | [Camera] Started with PID 22768
2026-01-29 09:53:33,060 | WARNING  | Launcher        | [manager] Health check failed, restarting...
2026-01-29 09:53:33,566 | INFO     | Launcher        | [Manager] Starting: E:\Xi\mls\.venv\Scripts\python.exe e:\Xi\mls\server\communications\manager.py
2026-01-29 09:53:33,571 | INFO     | Launcher        | [Manager] Started with PID 1824
2026-01-29 09:53:33,571 | WARNING  | Launcher        | [flask] Health check failed, restarting...
2026-01-29 09:53:34,072 | INFO     | Launcher        | [Flask] Starting: E:\Xi\mls\.venv\Scripts\python.exe e:\Xi\mls\server\Flask\flask_server.py
2026-01-29 09:53:34,085 | INFO     | Launcher        | [Flask] Started with PID 21596
2026-01-29 09:53:39,086 | WARNING  | Launcher        | [camera] Health check failed, restarting...
2026-01-29 09:53:39,587 | INFO     | Launcher        | [Camera] Starting: E:\Xi\mls\.venv\Scripts\python.exe e:\Xi\mls\server\cam\camera_server.py
2026-01-29 09:53:39,587 | INFO     | Launcher        | [Camera] Started with PID 12776
2026-01-29 09:53:39,587 | WARNING  | Launcher        | [manager] Health check failed, restarting...
2026-01-29 09:53:40,095 | INFO     | Launcher        | [Manager] Starting: E:\Xi\mls\.venv\Scripts\python.exe e:\Xi\mls\server\communications\manager.py
2026-01-29 09:53:40,095 | INFO     | Launcher        | [Manager] Started with PID 15156
2026-01-29 09:53:40,095 | WARNING  | Launcher        | [flask] Health check failed, restarting...
2026-01-29 09:53:40,601 | INFO     | Launcher        | [Flask] Starting: E:\Xi\mls\.venv\Scripts\python.exe e:\Xi\mls\server\Flask\flask_server.py
2026-01-29 09:53:40,606 | INFO     | Launcher        | [Flask] Started with PID 6464
2026-01-29 09:53:41,057 | INFO     | Launcher        | ============================================================
2026-01-29 09:53:41,057 | INFO     | Launcher        | Stopping all services...
2026-01-29 09:53:41,057 | INFO     | Launcher        | ============================================================
2026-01-29 09:53:41,059 | INFO     | Launcher        | [Flask] Stopping (PID: 6464)...
2026-01-29 09:53:41,069 | INFO     | Launcher        | [Flask] Stopped gracefully
2026-01-29 09:53:41,069 | INFO     | Launcher        | [Camera] Stopping (PID: 12776)...
2026-01-29 09:53:41,089 | INFO     | Launcher        | [Camera] Stopped gracefully
2026-01-29 09:53:41,089 | INFO     | Launcher        | All services stopped
